parameter,snr,D_true,Dstar_true,f_true,crlb_unbiased_sd,bayes_floor_sd,npe_claimed_sd,npe_achieved_sd,claimed_below_unbiased,claimed_below_bayes
D,50.0,0.6,41.42857142857143,0.3271428571428572,0.05922284033587488,0.05834397580130496,0.43861565,0.22595477,0,0
Dstar,50.0,0.6,41.42857142857143,0.3271428571428572,13.286293425173742,12.651600044182707,32.97509,19.282236,0,0
f,50.0,0.6,41.42857142857143,0.3271428571428572,0.021172294836415192,0.020677329591046203,0.11253568,0.050543383,0,0
D,50.0,0.6,41.42857142857143,0.38857142857142857,0.06517279859391842,0.06446955816914524,0.09134132,0.41402835,0,0
Dstar,50.0,0.6,41.42857142857143,0.38857142857142857,11.185886743988195,10.79916906373933,33.829685,16.269009,0,0
f,50.0,0.6,41.42857142857143,0.38857142857142857,0.021172294836415202,0.020812826509903577,0.029881317,0.06452629,0,0
D,50.0,0.6,41.42857142857143,0.45,0.0724518384368755,0.07185945136034597,0.08834874,0.108741574,0,0
Dstar,50.0,0.6,41.42857142857143,0.45,9.658924426554885,9.406647505121827,32.052353,14.890092,0,0
f,50.0,0.6,41.42857142857143,0.45,0.0211722948364152,0.02090012019451631,0.023593524,0.020561615,0,0
D,50.0,0.6,57.142857142857146,0.02,0.03870141467250242,0.033118374615381294,0.08747446,0.039128777,0,0
Dstar,50.0,0.6,57.142857142857146,0.02,465.03438146224045,56.716276325349476,32.14268,5.6447115,1,1
f,50.0,0.6,57.142857142857146,0.02,0.019474460239380976,0.014603353270685333,0.055550307,0.014426803,0,0
D,50.0,0.6,57.142857142857146,0.08142857142857143,0.0412895341607102,0.036527839680517614,0.12833697,0.046001263,0,0
Dstar,50.0,0.6,57.142857142857146,0.08142857142857143,114.21897088546254,51.10415130274256,42.51814,10.489773,1,1
f,50.0,0.6,57.142857142857146,0.08142857142857143,0.019474460239380976,0.01563597260240329,0.072488055,0.014012108,0,0
D,50.0,0.6,57.142857142857146,0.14285714285714285,0.044248617442227765,0.04071115002547433,0.058127113,0.057607003,0,0
Dstar,50.0,0.6,57.142857142857146,0.14285714285714285,65.10481340471367,42.946748692613625,37.544212,16.895948,1,1
f,50.0,0.6,57.142857142857146,0.14285714285714285,0.01947446023938098,0.016854520270384993,0.02608681,0.023138272,0,0
D,50.0,0.6,57.142857142857146,0.20428571428571426,0.04766457893238179,0.04507968744739052,0.08837007,0.112897255,0,0
Dstar,50.0,0.6,57.142857142857146,0.20428571428571426,45.527841541757795,35.60787421065095,37.50545,16.32623,1,0
f,50.0,0.6,57.142857142857146,0.20428571428571426,0.019474460239380972,0.017715098947860646,0.031171156,0.032979812,0,0
D,50.0,0.6,57.142857142857146,0.26571428571428574,0.05165208261738652,0.049700360593431234,0.26849887,0.18082634,0,0
Dstar,50.0,0.6,57.142857142857146,0.26571428571428574,35.0025878519966,29.84800923567206,35.737045,19.549349,0,0
f,50.0,0.6,57.142857142857146,0.26571428571428574,0.01947446023938098,0.0182559673969511,0.07578912,0.051522773,0,0
D,50.0,0.6,57.142857142857146,0.3271428571428572,0.05636766553150037,0.054826938516353584,0.21613596,0.11833975,0,0
Dstar,50.0,0.6,57.142857142857146,0.3271428571428572,28.430049521709027,25.453749813565178,38.518097,15.557821,0,0
f,50.0,0.6,57.142857142857146,0.3271428571428572,0.019474460239380986,0.01859625406548226,0.06054689,0.03472901,0,0
D,50.0,0.6,57.142857142857146,0.38857142857142857,0.06203077211527256,0.060759676773749036,0.08175785,0.15849237,0,0
Dstar,50.0,0.6,57.142857142857146,0.38857142857142857,23.935593163497664,22.077062385864117,33.284645,16.902512,0,0
f,50.0,0.6,57.142857142857146,0.38857142857142857,0.019474460239380972,0.018817623342459358,0.025124563,0.024724388,0,0
D,50.0,0.6,57.142857142857146,0.45,0.06895888432554978,0.0678662593986845,0.07673452,0.069865756,0,0
Dstar,50.0,0.6,57.142857142857146,0.45,20.668194731655134,19.435933162957912,33.488018,13.539113,0,0
f,50.0,0.6,57.142857142857146,0.45,0.019474460239380986,0.01896736354516089,0.02004297,0.015231782,0,0
D,50.0,0.6,72.85714285714286,0.02,0.037882094935446586,0.03280782542971686,0.08306276,0.032777105,0,0
Dstar,50.0,0.6,72.85714285714286,0.02,1002.3490182991324,72.6654386068259,31.10199,5.316991,1,1
f,50.0,0.6,72.85714285714286,0.02,0.018760354593706285,0.014330758093049161,0.052313063,0.01628635,0,0
D,50.0,0.6,72.85714285714286,0.08142857142857143,0.04041542321262264,0.03544038857881518,0.1265007,0.05916494,0,0
Dstar,50.0,0.6,72.85714285714286,0.08142857142857143,246.19098695066404,69.86211508323817,43.558205,10.449921,1,1
f,50.0,0.6,72.85714285714286,0.08142857142857143,0.018760354593706282,0.014712653263123515,0.071983956,0.016778424,0,0
D,50.0,0.6,72.85714285714286,0.14285714285714285,0.043311861876193944,0.038789528383454445,0.05545856,0.04530559,0,0
Dstar,50.0,0.6,72.85714285714286,0.14285714285714285,140.3288625618786,64.66154410596036,36.392673,19.158403,1,1
f,50.0,0.6,72.85714285714286,0.14285714285714285,0.01876035459370629,0.01535848527524245,0.025507923,0.021402022,0,0
D,50.0,0.6,72.85714285714286,0.20428571428571426,0.04665550650936511,0.042709884134305376,0.0870154,0.11942978,0,0
Dstar,50.0,0.6,72.85714285714286,0.20428571428571426,98.13207172159339,58.49731135605152,37.76346,18.760822,1,1
f,50.0,0.6,72.85714285714286,0.20428571428571426,0.018760354593706285,0.016029906926247308,0.030808877,0.03316457,0,0
D,50.0,0.6,72.85714285714286,0.26571428571428574,0.050558593629798386,0.04715730426302144,0.27131116,0.18823132,0,0
Dstar,50.0,0.6,72.85714285714286,0.26571428571428574,75.44562503326803,52.40899064840763,36.1301,18.165564,1,1
f,50.0,0.6,72.85714285714286,0.26571428571428574,0.018760354593706285,0.01660428859890129,0.07659776,0.05215015,0,0
D,50.0,0.6,72.85714285714286,0.3271428571428572,0.05517434633910058,0.05222334937826165,0.17013222,0.14254797,0,0
Dstar,50.0,0.6,72.85714285714286,0.3271428571428572,61.27897928466311,46.89656597052334,36.515118,14.870686,1,1
f,50.0,0.6,72.85714285714286,0.3271428571428572,0.018760354593706292,0.017055750741589836,0.049159665,0.03237503,0,0
D,50.0,0.6,72.85714285714286,0.38857142857142857,0.06071756337784199,0.058114082588461326,0.06129777,0.06389839,0,0
Dstar,50.0,0.6,72.85714285714286,0.38857142857142857,51.59149358892595,42.10418706358859,31.263655,16.148062,1,1
f,50.0,0.6,72.85714285714286,0.38857142857142857,0.018760354593706292,0.017399396085235674,0.018472759,0.020653404,0,0
D,50.0,0.6,72.85714285714286,0.45,0.06749900552134121,0.06515033562892762,0.07195483,0.06433229,0,0
Dstar,50.0,0.6,72.85714285714286,0.45,44.54884525773923,38.00690811185919,30.546871,14.482912,1,1
f,50.0,0.6,72.85714285714286,0.45,0.01876035459370629,0.01765929961996733,0.017659234,0.016514067,0,0
D,50.0,0.6,88.57142857142857,0.02,0.03752462285218257,0.03267960983109847,0.08433563,0.029536974,0,0
Dstar,50.0,0.6,88.57142857142857,0.02,2178.608590178178,88.49832231007244,30.759521,4.974083,1,1
f,50.0,0.6,88.57142857142857,0.02,0.018447503363335064,0.014218812415728962,0.05363786,0.015943175,0,0
D,50.0,0.6,88.57142857142857,0.08142857142857143,0.04003404553125542,0.035003881923321746,0.12323769,0.04770946,0,0
Dstar,50.0,0.6,88.57142857142857,0.08142857142857143,535.0968467104295,87.38245515691167,43.460377,11.601052,1,1
f,50.0,0.6,88.57142857142857,0.08142857142857143,0.018447503363335064,0.014340019069977804,0.06995845,0.01674027,0,0
D,50.0,0.6,88.57142857142857,0.14285714285714285,0.04290315212766204,0.037814635484429475,0.05304511,0.041214537,0,0
Dstar,50.0,0.6,88.57142857142857,0.14285714285714285,305.0052026249449,85.05762933756924,35.81135,17.060486,1,1
f,50.0,0.6,88.57142857142857,0.14285714285714285,0.018447503363335057,0.014584474065452624,0.023065522,0.016076604,0,0
D,50.0,0.6,88.57142857142857,0.20428571428571426,0.04621524466175446,0.04117121627011873,0.084865496,0.11219464,0,0
Dstar,50.0,0.6,88.57142857142857,0.20428571428571426,213.29035148597544,81.79896926662065,36.325687,19.04322,1,1
f,50.0,0.6,88.57142857142857,0.20428571428571426,0.01844750336333506,0.014909623763841008,0.03006905,0.037379626,0,0
D,50.0,0.6,88.57142857142857,0.26571428571428574,0.05008150053812696,0.045148059243918584,0.2274262,0.20163515,0,0
Dstar,50.0,0.6,88.57142857142857,0.26571428571428574,163.9812917338414,77.93019966235957,36.974735,20.046856,1,1
f,50.0,0.6,88.57142857142857,0.26571428571428574,0.018447503363335074,0.015270757781757878,0.06528359,0.05695662,0,0
D,50.0,0.6,88.57142857142857,0.3271428571428572,0.05465369697791348,0.04985878593206212,0.14456974,0.07721169,0,0
Dstar,50.0,0.6,88.57142857142857,0.3271428571428572,133.19004481438645,73.75255437088421,37.13878,13.070611,1,1
f,50.0,0.6,88.57142857142857,0.3271428571428572,0.01844750336333507,0.015632417952703287,0.043394398,0.023717297,0,0
D,50.0,0.6,88.57142857142857,0.38857142857142857,0.060144605786442144,0.055483207095203935,0.05903362,0.2536286,0,0
Dstar,50.0,0.6,88.57142857142857,0.38857142857142857,112.1342656709356,69.50480811456119,31.71653,20.294672,1,1
f,50.0,0.6,88.57142857142857,0.38857142857142857,0.018447503363335064,0.01597201471789822,0.018238433,0.03471349,0,0
D,50.0,0.6,88.57142857142857,0.45,0.06686205526388894,0.062302639513766404,0.07470731,0.06291651,0,0
Dstar,50.0,0.6,88.57142857142857,0.45,96.82704845236348,65.35352802000003,30.39753,13.992254,1,1
f,50.0,0.6,88.57142857142857,0.45,0.01844750336333507,0.016278185291844306,0.017883498,0.015196586,0,0
D,50.0,0.6,104.28571428571429,0.02,0.03736510298506051,0.03262525428291866,0.08191837,0.033410165,0,0
Dstar,50.0,0.6,104.28571428571429,0.02,4758.185622839661,104.2606759605605,32.2761,5.711445,1,1
f,50.0,0.6,104.28571428571429,0.02,0.0183076002999544,0.01417157185848349,0.052311633,0.014077447,0,0
D,50.0,0.6,104.28571428571429,0.08142857142857143,0.03986385792807387,0.0348472779457949,0.11825767,0.04767925,0,0
Dstar,50.0,0.6,104.28571428571429,0.08142857142857143,1168.6771705220212,103.87297943344133,43.30268,11.352265,1,1
f,50.0,0.6,104.28571428571429,0.08142857142857143,0.018307600299954395,0.01420671135212418,0.06726167,0.015982883,0,0
D,50.0,0.6,104.28571428571429,0.14285714285714285,0.04272076774625251,0.03743762216414739,0.0526154,0.05315461,0,0
Dstar,50.0,0.6,104.28571428571429,0.14285714285714285,666.1459871975524,103.03080853960918,36.01484,18.40696,1,1
f,50.0,0.6,104.28571428571429,0.14285714285714285,0.0183076002999544,0.014282296894497911,0.023254553,0.020483445,0,0
D,50.0,0.6,104.28571428571429,0.20428571428571426,0.046018780337076313,0.04047608256319123,0.06083371,0.09492441,0,0
Dstar,50.0,0.6,104.28571428571429,0.20428571428571426,465.83635468360296,101.76677868232122,37.619247,17.136898,1,1
f,50.0,0.6,104.28571428571429,0.20428571428571426,0.0183076002999544,0.0143938569346652,0.024479758,0.029339097,0,0
D,50.0,0.6,104.28571428571429,0.26571428571428574,0.04986860048200682,0.04406685528964204,0.22581047,0.17115948,0,0
Dstar,50.0,0.6,104.28571428571429,0.26571428571428574,358.1430038696517,100.12725125106368,38.716457,17.632391,1,1
f,50.0,0.6,104.28571428571429,0.26571428571428574,0.018307600299954395,0.01453525856085535,0.06535465,0.05133709,0,0
D,50.0,0.6,104.28571428571429,0.3271428571428572,0.05442136018630895,0.04835075691108312,0.14500563,0.15991855,0,0
Dstar,50.0,0.6,104.28571428571429,0.3271428571428572,290.89344419107084,98.16791350894101,37.45345,15.724044,1,1
f,50.0,0.6,104.28571428571429,0.3271428571428572,0.0183076002999544,0.014699494949710037,0.04460512,0.04318694,0,0
D,50.0,0.6,104.28571428571429,0.38857142857142857,0.05988892674708297,0.05352480767207227,0.061589435,0.055939477,0,0
Dstar,50.0,0.6,104.28571428571429,0.38857142857142857,244.90661294027663,95.94908085082989,31.851389,15.794471,1,1
f,50.0,0.6,104.28571428571429,0.38857142857142857,0.018307600299954395,0.014879445380887871,0.018286757,0.016067147,0,0
D,50.0,0.6,104.28571428571429,0.45,0.06657781986428964,0.05987472042630665,0.07324778,0.05983744,0,0
Dstar,50.0,0.6,104.28571428571429,0.45,211.47491657065154,93.53139580282884,30.074522,11.874783,1,1
f,50.0,0.6,104.28571428571429,0.45,0.018307600299954402,0.015068481513657967,0.0170664,0.014072659,0,0
D,50.0,0.6,120.0,0.02,0.037293113546989734,0.03260171387544363,0.08128319,0.0341474,0,0
Dstar,50.0,0.6,120.0,0.02,10417.224176522535,119.99203902055092,32.162956,4.567255,1,1
f,50.0,0.6,120.0,0.02,0.01824440007701279,0.014151184236105082,0.05115205,0.01296258,0,0
D,50.0,0.6,120.0,0.08142857142857143,0.039787054266306306,0.03479298539199719,0.12650524,0.04496945,0,0
Dstar,50.0,0.6,120.0,0.08142857142857143,2558.616464409043,119.8682387780138,41.81157,10.177431,1,1
f,50.0,0.6,120.0,0.08142857142857143,0.018244400077012786,0.014160843731646024,0.07193491,0.01399535,0,0
D,50.0,0.6,120.0,0.14285714285714285,0.04263845982205824,0.03731251445113116,0.046750404,0.051597662,0,0
Dstar,50.0,0.6,120.0,0.14285714285714285,1458.4113847131548,119.59583819894075,35.90481,18.336325,1,1
f,50.0,0.6,120.0,0.14285714285714285,0.01824440007701278,0.014182039539201021,0.02049459,0.018513985,0,0
D,50.0,0.6,120.0,0.20428571428571426,0.04593011830024228,0.04023587911468507,0.08158095,0.101629555,0,0
Dstar,50.0,0.6,120.0,0.20428571428571426,1019.8681011980102,119.17786208639615,36.947796,15.93571,1,1
f,50.0,0.6,120.0,0.20428571428571426,0.018244400077012782,0.014214407813066552,0.029577512,0.03412447,0,0
D,50.0,0.6,120.0,0.26571428571428574,0.04977252119306413,0.043663706590533306,0.22579661,0.1563088,0,0
Dstar,50.0,0.6,120.0,0.26571428571428574,784.0921423189003,118.61888090719451,37.55327,18.058992,1,1
f,50.0,0.6,120.0,0.26571428571428574,0.018244400077012786,0.014257404359602953,0.06340966,0.048808135,0,0
D,50.0,0.6,120.0,0.3271428571428572,0.054316509327462764,0.047733137898279404,0.14595875,0.13653953,0,0
Dstar,50.0,0.6,120.0,0.3271428571428572,636.8608666869673,117.92487452622687,36.660084,16.850006,1,1
f,50.0,0.6,120.0,0.3271428571428572,0.01824440007701279,0.014310327400324464,0.04168011,0.033550747,0,0
D,50.0,0.6,120.0,0.38857142857142857,0.059773541806623726,0.05263621164357117,0.06109735,0.073822305,0,0
Dstar,50.0,0.6,120.0,0.38857142857142857,536.1806561445422,117.10305976532798,31.598166,18.431965,1,1
f,50.0,0.6,120.0,0.38857142857142857,0.018244400077012786,0.014372345634406834,0.018064262,0.019540392,0,0
D,50.0,0.6,120.0,0.45,0.06644954777463626,0.058650573310359465,0.07037596,0.07378647,0,0
Dstar,50.0,0.6,120.0,0.45,462.98774117877934,116.16169121166962,29.301495,10.762509,1,1
f,50.0,0.6,120.0,0.45,0.018244400077012786,0.01444252956028777,0.016288053,0.013686027,1,0
D,50.0,0.8571428571428571,10.0,0.02,0.09110863272441866,0.054741775193831145,0.15794115,0.025963297,0,0
Dstar,50.0,0.8571428571428571,10.0,0.02,43.38960342748219,9.74455052738495,22.326601,5.1100907,1,0
f,50.0,0.8571428571428571,10.0,0.02,0.061005175931091955,0.029242023376157333,0.09273466,0.01124755,0,0
D,50.0,0.8571428571428571,10.0,0.08142857142857143,0.09720143397970644,0.07789166720062501,0.17633714,0.04898028,0,0
Dstar,50.0,0.8571428571428571,10.0,0.08142857142857143,10.657095578679844,7.2923077602015365,13.692728,5.818366,0,0
f,50.0,0.8571428571428571,10.0,0.08142857142857143,0.061005175931092004,0.04600330241412887,0.10335853,0.030860063,0,0
D,50.0,0.8571428571428571,10.0,0.14285714285714285,0.1041675367482522,0.09424818847655528,0.19812278,0.06700311,0,0
Dstar,50.0,0.8571428571428571,10.0,0.14285714285714285,6.074544479847522,5.191727012249506,16.17497,5.3333263,0,0
f,50.0,0.8571428571428571,10.0,0.14285714285714285,0.06100517593109211,0.053925359849369706,0.114855185,0.03328716,0,0
D,50.0,0.8571428571428571,10.0,0.20428571428571426,0.11220919577908686,0.10628126455818446,0.1958195,0.053731546,0,0
Dstar,50.0,0.8571428571428571,10.0,0.20428571428571426,4.247933202690579,3.909795096100774,14.102877,5.0865393,0,0
f,50.0,0.8571428571428571,10.0,0.20428571428571426,0.06100517593109216,0.057097840318125447,0.10511754,0.02591284,0,0
D,50.0,0.8571428571428571,10.0,0.26571428571428574,0.12159634639873788,0.11758705060431787,0.20982367,0.053100776,0,0
Dstar,50.0,0.8571428571428571,10.0,0.26571428571428574,3.265884128950277,3.104514320849484,23.722061,5.78308,0,0
f,50.0,0.8571428571428571,10.0,0.26571428571428574,0.06100517593109203,0.05857200434215567,0.10252804,0.017623799,0,0
D,50.0,0.8571428571428571,10.0,0.3271428571428572,0.13269749904235942,0.12972916453316377,0.20329705,0.056366086,0,0
Dstar,50.0,0.8571428571428571,10.0,0.3271428571428572,2.6526395108504426,2.563966176153104,28.555004,8.741043,0,0
f,50.0,0.8571428571428571,10.0,0.3271428571428572,0.06100517593109203,0.059356366170142956,0.09351716,0.017299635,0,0
D,50.0,0.8571428571428571,10.0,0.38857142857142857,0.1460292571237183,0.14367612866931517,0.19758205,0.05910197,0,0
Dstar,50.0,0.8571428571428571,10.0,0.38857142857142857,2.2332884117086493,2.1795952649960673,29.331335,8.931253,0,0
f,50.0,0.8571428571428571,10.0,0.38857142857142857,0.061005175931092184,0.05981822058414434,0.0822674,0.018323913,0,0
D,50.0,0.8571428571428571,10.0,0.45,0.1623390183089647,0.16036861079204073,0.24260902,0.083102405,0,0
Dstar,50.0,0.8571428571428571,10.0,0.45,1.928426818999214,1.893539452185514,36.232265,10.749874,0,0
f,50.0,0.8571428571428571,10.0,0.45,0.06100517593109216,0.06011150327202936,0.089334734,0.019777423,0,0
D,50.0,0.8571428571428571,25.71428571428572,0.02,0.05399632255008949,0.04225681332067348,0.15426259,0.023926081,0,0
Dstar,50.0,0.8571428571428571,25.71428571428572,0.02,102.66452404796209,24.94376609588341,19.778242,7.4539146,1,1
f,50.0,0.8571428571428571,25.71428571428572,0.02,0.02826352016187936,0.01833676764142816,0.09119713,0.016162902,0,0
D,50.0,0.8571428571428571,25.71428571428572,0.08142857142857143,0.05760727413586526,0.05146412536578333,0.19615437,0.06485901,0,0
Dstar,50.0,0.8571428571428571,25.71428571428572,0.08142857142857143,25.215848011780153,18.003934625859554,19.906065,9.040574,1,0
f,50.0,0.8571428571428571,25.71428571428572,0.08142857142857143,0.028263520161879344,0.02361847514229892,0.11167352,0.037169628,0,0
D,50.0,0.8571428571428571,25.71428571428572,0.14285714285714285,0.06173579544893555,0.05863122985341673,0.2124275,0.06877296,0,0
Dstar,50.0,0.8571428571428571,25.71428571428572,0.14285714285714285,14.373033366714676,12.546163114074872,30.202944,6.9912515,0,0
f,50.0,0.8571428571428571,25.71428571428572,0.14285714285714285,0.02826352016187932,0.02611125318392106,0.11064348,0.03545327,0,0
D,50.0,0.8571428571428571,25.71428571428572,0.20428571428571426,0.06650175452309046,0.06466121779164306,0.22121292,0.094079815,0,0
Dstar,50.0,0.8571428571428571,25.71428571428572,0.20428571428571426,10.051072284415868,9.361351656780629,36.918583,9.59039,0,0
f,50.0,0.8571428571428571,25.71428571428572,0.20428571428571426,0.028263520161879354,0.02708636935662812,0.086610496,0.033065498,0,0
D,50.0,0.8571428571428571,25.71428571428572,0.26571428571428574,0.07206513087424393,0.07082524440333382,0.33061025,0.106103346,0,0
Dstar,50.0,0.8571428571428571,25.71428571428572,0.26571428571428574,7.727437293932629,7.400500003123691,37.42893,12.151009,0,0
f,50.0,0.8571428571428571,25.71428571428572,0.26571428571428574,0.028263520161879354,0.027533758828188912,0.116059475,0.018582964,0,0
D,50.0,0.8571428571428571,25.71428571428572,0.3271428571428572,0.07864432541265684,0.07772835851543856,0.45236313,0.18899001,0,0
Dstar,50.0,0.8571428571428571,25.71428571428572,0.3271428571428572,6.276433784591563,6.097428786231085,33.97149,10.19374,0,0
f,50.0,0.8571428571428571,25.71428571428572,0.3271428571428572,0.028263520161879337,0.027770215018967998,0.12541945,0.028592769,0,0
D,50.0,0.8571428571428571,25.71428571428572,0.38857142857142857,0.08654550763869483,0.08582032697008087,0.39621848,0.39789626,0,0
Dstar,50.0,0.8571428571428571,25.71428571428572,0.38857142857142857,5.284203443645106,5.1760440856017755,35.863438,11.537771,0,0
f,50.0,0.8571428571428571,25.71428571428572,0.38857142857142857,0.028263520161879354,0.02790891551645998,0.101538666,0.07169653,0,0
D,50.0,0.8571428571428571,25.71428571428572,0.45,0.09621162927106848,0.09560490180558892,0.1776068,0.3752148,0,0
Dstar,50.0,0.8571428571428571,25.71428571428572,0.45,4.562867735464978,4.492686024170106,22.819746,11.751719,0,0
f,50.0,0.8571428571428571,25.71428571428572,0.45,0.028263520161879337,0.027996784057662052,0.04750871,0.07453816,0,0
D,50.0,0.8571428571428571,41.42857142857143,0.02,0.047617937012345304,0.0396793321214467,0.16407649,0.03661674,0,0
Dstar,50.0,0.8571428571428571,41.42857142857143,0.02,223.15711277081758,40.73259268933909,23.668303,7.438823,1,1
f,50.0,0.8571428571428571,41.42857142857143,0.02,0.02286099961350646,0.016116416450959736,0.09541929,0.015368413,0,0
D,50.0,0.8571428571428571,41.42857142857143,0.08142857142857143,0.050802340265114904,0.04540451332153714,0.18708214,0.056546852,0,0
Dstar,50.0,0.8571428571428571,41.42857142857143,0.08142857142857143,54.81051892616572,33.049810448167015,26.03576,12.839624,1,1
f,50.0,0.8571428571428571,41.42857142857143,0.08142857142857143,0.022860999613506468,0.018696395980471427,0.101260826,0.03666261,0,0
D,50.0,0.8571428571428571,41.42857142857143,0.14285714285714285,0.05444317465078142,0.051228114244529846,0.18759713,0.07217135,0,0
Dstar,50.0,0.8571428571428571,41.42857142857143,0.14285714285714285,31.24199578791446,24.9442147744097,39.093777,9.028877,0,0
f,50.0,0.8571428571428571,41.42857142857143,0.14285714285714285,0.022860999613506447,0.020592167896227954,0.08019039,0.031394277,0,0
D,50.0,0.8571428571428571,41.42857142857143,0.20428571428571426,0.058646148636389346,0.05659291440442956,0.26785824,0.11095222,0,0
Dstar,50.0,0.8571428571428571,41.42857142857143,0.20428571428571426,21.847549502038078,19.3250140604937,33.99339,14.296824,0,0
f,50.0,0.8571428571428571,41.42857142857143,0.20428571428571426,0.022860999613506447,0.02152794207098533,0.08331268,0.029166155,0,0
D,50.0,0.8571428571428571,41.42857142857143,0.26571428571428574,0.06355234395032856,0.062117822442833766,0.37604052,0.16553162,0,0
Dstar,50.0,0.8571428571428571,41.42857142857143,0.26571428571428574,16.79677192898627,15.566044296064579,40.122925,16.322271,0,0
f,50.0,0.8571428571428571,41.42857142857143,0.26571428571428574,0.022860999613506464,0.022005302036689836,0.1047768,0.029524473,0,0
D,50.0,0.8571428571428571,41.42857142857143,0.3271428571428572,0.06935436261246047,0.06827329177416248,0.3423757,0.33230364,0,0
Dstar,50.0,0.8571428571428571,41.42857142857143,0.3271428571428572,13.642792920486661,12.95824997063418,36.036842,15.958727,0,0
f,50.0,0.8571428571428571,41.42857142857143,0.3271428571428572,0.022860999613506457,0.02227149471157847,0.08851744,0.05811687,0,0
D,50.0,0.8571428571428571,41.42857142857143,0.38857142857142857,0.07632220745436655,0.07545606466059485,0.09670997,0.15524401,0,0
Dstar,50.0,0.8571428571428571,41.42857142857143,0.38857142857142857,11.486027863203846,11.068501682133121,33.011375,17.50128,0,0
f,50.0,0.8571428571428571,41.42857142857143,0.38857142857142857,0.022860999613506457,0.022432424880418262,0.031001793,0.031161677,0,0
D,50.0,0.8571428571428571,41.42857142857143,0.45,0.08484650594926978,0.08411629374286378,0.09466781,0.094815485,0,0
Dstar,50.0,0.8571428571428571,41.42857142857143,0.45,9.918093900925225,9.645535377599279,30.58383,16.45795,0,0
f,50.0,0.8571428571428571,41.42857142857143,0.45,0.02286099961350645,0.022536281222810813,0.025861071,0.015570628,0,0
D,50.0,0.8571428571428571,57.142857142857146,0.02,0.045292471745708586,0.03877173996761032,0.16563216,0.029729275,0,0
Dstar,50.0,0.8571428571428571,57.142857142857146,0.02,475.45525001527784,56.73457298285397,23.072153,6.9585705,1,1
f,50.0,0.8571428571428571,57.142857142857146,0.02,0.0208883209890693,0.01533784540776075,0.097507596,0.014621144,0,0
D,50.0,0.8571428571428571,57.142857142857146,0.08142857142857143,0.048321361769138566,0.04271169372358141,0.19379565,0.07084306,0,0
Dstar,50.0,0.8571428571428571,57.142857142857146,0.08142857142857143,116.77848245989281,51.32737431551103,25.182165,10.964787,1,1
f,50.0,0.8571428571428571,57.142857142857146,0.08142857142857143,0.02088832098906931,0.016484849974955407,0.103129014,0.037128177,0,0
D,50.0,0.8571428571428571,57.142857142857146,0.14285714285714285,0.05178439269592679,0.047572353585656306,0.19962606,0.080871575,0,0
Dstar,50.0,0.8571428571428571,57.142857142857146,0.14285714285714285,66.5637350021389,43.35768266800075,38.89642,13.5468855,1,1
f,50.0,0.8571428571428571,57.142857142857146,0.14285714285714285,0.020888320989069294,0.017857469987004305,0.07881701,0.030639715,0,0
D,50.0,0.8571428571428571,57.142857142857146,0.20428571428571426,0.05578211062397861,0.05268015034053622,0.28570876,0.12801294,0,0
Dstar,50.0,0.8571428571428571,57.142857142857146,0.20428571428571426,46.54806643506217,36.08964186919186,34.49489,15.745094,1,0
f,50.0,0.8571428571428571,57.142857142857146,0.20428571428571426,0.0208883209890693,0.018840378337589645,0.08546771,0.030468727,0,0
D,50.0,0.8571428571428571,57.142857142857146,0.26571428571428574,0.060448707427151915,0.05809474733858205,0.31633788,0.16803895,0,0
Dstar,50.0,0.8571428571428571,57.142857142857146,0.26571428571428574,35.78695430222521,30.32992878717413,39.40366,14.336638,0,0
f,50.0,0.8571428571428571,57.142857142857146,0.26571428571428574,0.020888320989069297,0.01946426045209659,0.08324007,0.03528939,0,0
D,50.0,0.8571428571428571,57.142857142857146,0.3271428571428572,0.06596737923048,0.064103128286867,0.1197156,0.3810209,0,0
Dstar,50.0,0.8571428571428571,57.142857142857146,0.3271428571428572,29.06713318870693,25.90791386064582,37.523727,19.108072,0,0
f,50.0,0.8571428571428571,57.142857142857146,0.3271428571428572,0.02088832098906929,0.01985931120403505,0.03857152,0.06259789,0,0
D,50.0,0.8571428571428571,57.142857142857146,0.38857142857142857,0.07259494303167312,0.07105368668058312,0.08283823,0.17042285,0,0
Dstar,50.0,0.8571428571428571,57.142857142857146,0.38857142857142857,24.471961397845188,22.49582301178961,31.871437,19.731604,0,0
f,50.0,0.8571428571428571,57.142857142857146,0.38857142857142857,0.020888320989069308,0.020117388342290692,0.022534553,0.03313259,0,0
D,50.0,0.8571428571428571,57.142857142857146,0.45,0.08070294965598983,0.07937618813240956,0.08576468,0.09799695,0,0
Dstar,50.0,0.8571428571428571,57.142857142857146,0.45,21.13134444512346,19.819580866680663,32.419266,18.247797,0,0
f,50.0,0.8571428571428571,57.142857142857146,0.45,0.0208883209890693,0.020292451099461352,0.020706471,0.017735157,0,0
D,50.0,0.8571428571428571,72.85714285714286,0.02,0.044328502014364723,0.03841219289198913,0.15420192,0.043216106,0,0
Dstar,50.0,0.8571428571428571,72.85714285714286,0.02,1022.9057579476872,72.67303743346378,19.37463,7.8013153,1,1
f,50.0,0.8571428571428571,72.85714285714286,0.02,0.020065407715161073,0.015031585314161,0.090941064,0.01511153,0,0
