parameter,snr,D_true,Dstar_true,f_true,crlb_unbiased_sd,bayes_floor_sd,npe_claimed_sd,npe_achieved_sd,claimed_below_unbiased,claimed_below_bayes
f,10.0,0.6,72.85714285714286,0.14285714285714285,0.09380177296853141,0.07179276915835162,0.11370457,0.036184598,0,0
D,10.0,0.6,72.85714285714286,0.20428571428571426,0.23327753254682554,0.20258169218134545,0.37390417,0.2368992,0,0
Dstar,10.0,0.6,72.85714285714286,0.20428571428571426,490.66035860796705,72.06698414731629,36.491177,9.158445,1,1
f,10.0,0.6,72.85714285714286,0.20428571428571426,0.09380177296853143,0.07207202693527562,0.12432082,0.031401612,0,0
D,10.0,0.6,72.85714285714286,0.26571428571428574,0.2527929681489919,0.22005476602449178,0.44115344,0.26857635,0,0
Dstar,10.0,0.6,72.85714285714286,0.26571428571428574,377.2281251663401,71.53514406259755,38.905613,9.245405,1,1
f,10.0,0.6,72.85714285714286,0.26571428571428574,0.0938017729685314,0.07243880326076829,0.12865168,0.04195871,0,0
D,10.0,0.6,72.85714285714286,0.3271428571428572,0.27587173169550283,0.24084270916900724,0.5431646,0.34618703,0,0
Dstar,10.0,0.6,72.85714285714286,0.3271428571428572,306.3948964233156,70.88077936144637,36.400276,12.416716,1,1
f,10.0,0.6,72.85714285714286,0.3271428571428572,0.09380177296853141,0.0728838492033147,0.13316849,0.05538783,0,0
D,10.0,0.6,72.85714285714286,0.38857142857142857,0.30358781688921,0.2659275987587667,0.62215024,0.39500886,0,0
Dstar,10.0,0.6,72.85714285714286,0.38857142857142857,257.95746794462974,70.11423416424564,37.27145,15.979343,1,1
f,10.0,0.6,72.85714285714286,0.38857142857142857,0.09380177296853147,0.07339661016453417,0.13260123,0.06726963,0,0
D,10.0,0.6,72.85714285714286,0.45,0.337495027606706,0.2967287354957086,0.65969914,0.4904368,0,0
Dstar,10.0,0.6,72.85714285714286,0.45,222.74422628869613,69.24698335620225,41.078102,17.246294,1,1
f,10.0,0.6,72.85714285714286,0.45,0.09380177296853144,0.07396580331774492,0.13057837,0.07249935,0,0
D,10.0,0.6,88.57142857142857,0.02,0.18762311426091285,0.16335675889104545,0.17072426,0.06767137,0,0
Dstar,10.0,0.6,88.57142857142857,0.02,10893.042950890891,88.56850084167142,33.877228,4.0375175,1,1
f,10.0,0.6,88.57142857142857,0.02,0.09223751681667533,0.07105551673424726,0.08121632,0.027620275,1,0
D,10.0,0.6,88.57142857142857,0.08142857142857143,0.20017022765627712,0.17430969093453566,0.22815828,0.122383386,0,0
Dstar,10.0,0.6,88.57142857142857,0.08142857142857143,2675.484233552148,88.5229344190402,35.294003,5.7129345,1,1
