condition,beta,N,P,run_index,seed,tau,event,dwell_stat,rho_std_plateau,collapse_rho_mean
b0.110_N256,0.11,256,38,84,20265193,284.5,1,61.5,0.13008157000606504,0.8571660495210728
b0.110_N256,0.11,256,38,85,20265194,612.5,1,62.0,0.1409942089859524,0.8576051997345633
b0.110_N256,0.11,256,38,86,20265195,1305.5,1,64.0,0.15750290732502792,0.8573031155226349
b0.110_N256,0.11,256,38,87,20265196,330.0,1,26.5,0.14046559730017977,0.8576044723029459
b0.110_N256,0.11,256,38,88,20265197,440.0,1,55.5,0.1360431454447393,0.8573058618839597
b0.110_N256,0.11,256,38,89,20265198,465.0,1,30.0,0.15215153748476543,0.8575668885692346
b0.110_N256,0.11,256,38,90,20265199,1937.5,1,432.5,0.16122179044808166,0.5023821878652411
b0.110_N256,0.11,256,38,91,20265200,938.5,1,60.0,0.16154933571084987,0.8573031293689837
b0.110_N256,0.11,256,38,92,20265201,281.0,1,48.0,0.1499964721137732,0.857440597753923
b0.110_N256,0.11,256,38,93,20265202,1125.0,1,70.0,0.1563825628615075,0.8573000762015958
b0.110_N256,0.11,256,38,94,20265203,1045.0,1,36.0,0.15924132291175788,0.8574040197340668
b0.110_N256,0.11,256,38,95,20265204,831.0,1,33.0,0.1415951159217825,0.857379607846004
b0.110_N256,0.11,256,38,96,20265205,571.0,1,77.0,0.14251863119265365,0.8573007984924195
b0.110_N256,0.11,256,38,97,20265206,265.0,1,110.0,0.11069099441856409,0.8573027761793953
b0.110_N256,0.11,256,38,98,20265207,1315.0,1,70.0,0.15660151473378547,0.8573010520901109
b0.110_N256,0.11,256,38,99,20265208,1094.0,1,43.5,0.14574425830985618,0.8574298216491198
b0.110_N256,0.11,256,38,100,20265209,1455.5,1,69.5,0.15887839042635393,0.8573009318833706
b0.110_N256,0.11,256,38,101,20265210,1067.0,1,49.5,0.15784431207668806,0.8572998519612174
b0.110_N256,0.11,256,38,102,20265211,1446.5,1,57.5,0.16412693950945978,0.8575858181928369
b0.110_N256,0.11,256,38,103,20265212,439.0,1,54.0,0.14520413340871496,0.8572708432317697
b0.110_N256,0.11,256,38,104,20265213,405.5,1,58.5,0.12093286275422827,0.8571821402629358
b0.110_N256,0.11,256,38,105,20265214,387.5,1,97.5,0.1542849081050667,0.8572992850742558
b0.110_N256,0.11,256,38,106,20265215,846.0,1,58.0,0.15544960488761442,0.8575580370829269
b0.110_N256,0.11,256,38,107,20265216,535.5,1,52.5,0.13042523033996758,0.8573282161979386
b0.110_N256,0.11,256,38,108,20265217,282.0,1,10.0,0.13539027638957285,0.857527690481555
b0.110_N256,0.11,256,38,109,20265218,509.5,1,62.0,0.1636725964434304,0.8573011217343725
b0.110_N256,0.11,256,38,110,20265219,1015.0,1,30.5,0.16544653752177066,0.8573105429542746
b0.110_N256,0.11,256,38,111,20265220,144.5,1,32.0,0.11330145812133005,0.8574921113390443
b0.110_N256,0.11,256,38,112,20265221,427.5,1,74.5,0.14067904749169916,0.8573030966478016
b0.110_N256,0.11,256,38,113,20265222,1552.5,1,67.5,0.1532087520771077,0.8573041146547861
b0.110_N256,0.11,256,38,114,20265223,3001.5,1,77.5,0.1594640763586243,0.8572993117347402
b0.110_N256,0.11,256,38,115,20265224,1242.0,1,433.0,0.12527049449588817,0.5023821374339801
b0.110_N256,0.11,256,38,116,20265225,573.5,1,72.5,0.14553525313186969,0.8573069663625814
b0.110_N256,0.11,256,38,117,20265226,165.0,1,28.5,0.11309578184414036,0.8573347988468669
b0.110_N256,0.11,256,38,118,20265227,1223.5,1,60.5,0.15646352010516817,0.8573104951254216
b0.110_N256,0.11,256,38,119,20265228,2127.5,1,59.5,0.15972506733523714,0.8573034968100305
b0.110_N256,0.11,256,38,120,20265229,676.0,1,13.5,0.15040676582156556,0.8576484474572699
b0.110_N256,0.11,256,38,121,20265230,827.5,1,46.0,0.16901455861002126,0.8573014162174691
b0.110_N256,0.11,256,38,122,20265231,1005.0,1,59.0,0.1583321711885441,0.8574611620685268
b0.110_N256,0.11,256,38,123,20265232,582.5,1,31.0,0.16032011838027452,0.8576323009573431
b0.110_N256,0.11,256,38,124,20265233,2092.5,1,41.5,0.16094242453448782,0.8570916498469618
b0.110_N256,0.11,256,38,125,20265234,234.0,1,36.0,0.1516202125890119,0.8576268187797607
b0.110_N256,0.11,256,38,126,20265235,4056.0,1,432.5,0.17328036532890542,0.502382023672458
b0.110_N256,0.11,256,38,127,20265236,236.0,1,77.5,0.1150784367513996,0.8573078902651227
b0.110_N256,0.11,256,38,128,20265237,1166.0,1,34.0,0.15507702926141745,0.8575107539394394
b0.110_N256,0.11,256,38,129,20265238,1247.5,1,23.0,0.15716129634003045,0.8574165465323186
b0.110_N256,0.11,256,38,130,20265239,349.0,1,28.5,0.15098137740737552,0.857557623119213
b0.110_N256,0.11,256,38,131,20265240,302.0,1,48.0,0.1354567226605249,0.8573578577112482
b0.110_N256,0.11,256,38,132,20265241,201.0,1,36.0,0.14205736285450615,0.8574832996346969
b0.110_N256,0.11,256,38,133,20265242,259.0,1,32.5,0.12491261460485534,0.8573538107963249
b0.110_N256,0.11,256,38,134,20265243,1665.0,1,76.0,0.16672296974140716,0.8576766745113333
b0.110_N256,0.11,256,38,135,20265244,684.0,1,39.5,0.17270829007361638,0.8573273368598989
b0.110_N256,0.11,256,38,136,20265245,696.0,1,26.0,0.16715547945452472,0.8576099040360854
b0.110_N256,0.11,256,38,137,20265246,375.5,1,35.0,0.15248094817642102,0.8576754385694408
b0.110_N256,0.11,256,38,138,20265247,1337.5,1,34.0,0.16069324769869253,0.857330346675902
b0.110_N256,0.11,256,38,139,20265248,246.5,1,81.0,0.1320711168523498,0.8575045481482106
b0.110_N256,0.11,256,38,140,20265249,674.0,1,46.5,0.14546783769954014,0.8573068333446223
b0.110_N256,0.11,256,38,141,20265250,1543.5,1,69.5,0.1553932714658425,0.85765989300802
b0.110_N256,0.11,256,38,142,20265251,306.0,1,64.5,0.13012281051147132,0.8573019548485326
b0.110_N256,0.11,256,38,143,20265252,532.5,1,41.5,0.14361055716900722,0.8573184263302046
b0.110_N256,0.11,256,38,144,20265253,2089.0,1,70.0,0.16437484622741597,0.8573018131081147
b0.110_N256,0.11,256,38,145,20265254,2738.0,1,72.5,0.15936549628151933,0.8573022032174937
b0.110_N256,0.11,256,38,146,20265255,318.5,1,47.5,0.1374044484201225,0.8576036234914799
b0.110_N256,0.11,256,38,147,20265256,1519.5,1,46.5,0.18042417506216538,0.857306113044263
b0.110_N256,0.11,256,38,148,20265257,1203.0,1,40.5,0.15669222911996178,0.8573245055895413
b0.110_N256,0.11,256,38,149,20265258,1890.0,1,59.0,0.1526023218047423,0.857456749899664
b0.110_N256,0.11,256,38,150,20265259,554.5,1,26.5,0.14465713604836936,0.8574838910598711
b0.110_N256,0.11,256,38,151,20265260,445.0,1,50.5,0.13810889759979536,0.8573042318475088
b0.110_N256,0.11,256,38,152,20265261,1683.0,1,43.0,0.16209547570065486,0.8572674862046633
b0.110_N256,0.11,256,38,153,20265262,237.0,1,69.5,0.11528347615359953,0.8573073110913495
b0.110_N256,0.11,256,38,154,20265263,347.0,1,74.0,0.13551487356782402,0.857299260398392
b0.110_N256,0.11,256,38,155,20265264,1311.0,1,54.5,0.1697937075689794,0.8573066541868756
b0.110_N256,0.11,256,38,156,20265265,310.0,1,99.5,0.13081021556134886,0.857370876996942
b0.110_N256,0.11,256,38,157,20265266,681.5,1,43.0,0.16502503053093742,0.8576751823219118
b0.110_N256,0.11,256,38,158,20265267,119.5,1,45.5,0.08961435476065764,0.8576582306836307
b0.110_N256,0.11,256,38,159,20265268,1336.0,1,56.5,0.17083086348835338,0.8575621970638361
b0.110_N256,0.11,256,38,160,20265269,632.5,1,31.5,0.1464182622517156,0.8573220523276266
b0.110_N256,0.11,256,38,161,20265270,3002.5,1,40.5,0.15689772958784248,0.8573335504654831
b0.110_N256,0.11,256,38,162,20265271,212.5,1,88.0,0.09878720137131372,0.8573016247763392
b0.110_N256,0.11,256,38,163,20265272,496.5,1,111.0,0.13597562097702554,0.8572983407985002
b0.110_N256,0.11,256,38,164,20265273,674.5,1,77.5,0.1552502295310141,0.8572973104103637
b0.110_N256,0.11,256,38,165,20265274,244.5,1,40.0,0.1258410887341437,0.8573953166411938
b0.110_N256,0.11,256,38,166,20265275,218.5,1,15.0,0.13653802609222454,0.8574323307317168
b0.110_N256,0.11,256,38,167,20265276,2262.5,1,52.0,0.15950987254847895,0.8574101358751978
b0.110_N256,0.11,256,38,168,20265277,1027.0,1,18.0,0.15437170564827066,0.8575122153710634
b0.110_N256,0.11,256,38,169,20265278,262.5,1,30.0,0.14311973574941472,0.8576529760976564
b0.110_N256,0.11,256,38,170,20265279,1454.5,1,126.5,0.14081691120784154,0.8573071867186862
b0.110_N256,0.11,256,38,171,20265280,1131.5,1,429.5,0.11679102157250333,0.5023820913283347
b0.110_N256,0.11,256,38,172,20265281,5023.5,1,46.0,0.15959691763328196,0.8573009836637768
b0.110_N256,0.11,256,38,173,20265282,533.5,1,54.0,0.15072657227209205,0.8572975117721975
b0.110_N256,0.11,256,38,174,20265283,293.5,1,67.5,0.13671248246644277,0.8573003058909973
b0.110_N256,0.11,256,38,175,20265284,1227.5,1,87.0,0.14994380388204137,0.8572989965942174
