condition,beta,N,P,run_index,seed,tau,event,dwell_stat,rho_std_plateau,collapse_rho_mean
b0.125_N128,0.125,128,19,277,20264186,1049.5,1,72.5,0.16132596272978936,0.8538959166662885
b0.125_N128,0.125,128,19,278,20264187,787.0,1,32.5,0.17816748238496888,0.853917503042267
b0.125_N128,0.125,128,19,279,20264188,584.0,1,34.0,0.15604505619714323,0.8540834134406919
b0.125_N128,0.125,128,19,280,20264189,709.0,1,32.5,0.16239905605237376,0.8539235696178267
b0.125_N128,0.125,128,19,281,20264190,164.5,1,52.5,0.08451783492115977,0.8538943750125695
b0.125_N128,0.125,128,19,282,20264191,335.5,1,26.5,0.1343249298940062,0.854084110272693
b0.125_N128,0.125,128,19,283,20264192,847.5,1,54.5,0.16027913778069727,0.8539421737648784
b0.125_N128,0.125,128,19,284,20264193,489.0,1,60.0,0.156829744389928,0.853896650664584
b0.125_N128,0.125,128,19,285,20264194,394.5,1,95.5,0.12133761612945639,0.8538955814938253
b0.125_N128,0.125,128,19,286,20264195,545.5,1,18.0,0.16887312974604826,0.8539716001377837
b0.125_N128,0.125,128,19,287,20264196,531.0,1,53.0,0.14985939374901477,0.8539739192190338
b0.125_N128,0.125,128,19,288,20264197,458.5,1,33.5,0.18144303527347602,0.8540779082556158
b0.125_N128,0.125,128,19,289,20264198,367.0,1,32.5,0.13475685054690234,0.8540199466939216
b0.125_N128,0.125,128,19,290,20264199,199.0,1,69.5,0.1152188321546328,0.8541150384178746
b0.125_N128,0.125,128,19,291,20264200,557.0,1,65.5,0.16692005751566968,0.8538938026689796
b0.125_N128,0.125,128,19,292,20264201,342.0,1,67.5,0.1426234640615039,0.8538942705912543
b0.125_N128,0.125,128,19,293,20264202,247.5,1,23.5,0.1371970288508345,0.8539543964596344
b0.125_N128,0.125,128,19,294,20264203,1022.5,1,22.0,0.17078189338992625,0.854038638192247
b0.125_N128,0.125,128,19,295,20264204,741.0,1,24.5,0.15530329662503412,0.8539024366650544
b0.125_N128,0.125,128,19,296,20264205,532.0,1,59.0,0.14573465168275487,0.8538956592796548
b0.125_N128,0.125,128,19,297,20264206,192.0,1,71.5,0.10003320318380837,0.8538972903475401
b0.125_N128,0.125,128,19,298,20264207,205.5,1,62.5,0.10729671430652057,0.8538926245664034
b0.125_N128,0.125,128,19,299,20264208,228.5,1,92.0,0.10185817791642268,0.8538971440146351
b0.130_N32,0.13,32,5,0,20264209,250.5,1,34.5,0.13365317274229813,0.8178178254783702
b0.130_N32,0.13,32,5,1,20264210,200.5,1,57.0,0.10387954039507796,0.8177692598855629
b0.130_N32,0.13,32,5,2,20264211,1724.0,1,31.0,0.164876727268037,0.8177702877718183
